#B-V  V
       1.2743937       13.794380
       1.4514136       15.553741
      0.55264153       8.5570585
       1.3314803       15.157315
      0.74216157       10.517951
       1.4388677       15.640285
       1.2217019       13.735997
       1.4620094       15.934214
      0.95985731       12.027503
       1.4111774       13.856546
      0.83581844       10.675822
       1.4774056       15.147385
      0.59936712       10.010703
      0.79858511       11.293868
       1.6406520       16.158172
      0.65235731       8.3990071
      0.84721298       11.391484
       1.3808554       15.388443
       1.2513089       12.699444
       1.5510091       16.013661
       1.1456451       12.539204
       1.4633754       15.697638
       1.1907772       12.867909
       1.4306858       15.054448
       1.7100765       15.633620
      0.65028226       8.5601168
       1.7328326       16.043563
       1.5253784       15.465893
       1.3811024       15.955956
       1.4612355       14.273579
       1.6669689       16.071475
       1.1550515       12.613163
      0.59699270       8.7676782
       1.5994719       15.574097
      0.89624802       12.082919
       1.3186957       13.706861
       1.2867240       13.226176
       1.4026643       15.589364
       1.3605919       13.643315
       1.1424642       13.114812
       1.4916897       14.205317
       1.3780028       7.9530873
       1.3698102       13.253250
      0.94966963       11.464571
       1.3397590       14.284195
      0.81057967       8.1762815
      0.58527470       9.2223533
       1.2488428       13.746278
      0.62175819       9.9448292
