Full, log(Age), M,log(Teff),Mbol, Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
258,10.260,0.8651,3.737,4.73,4.87,0.31,0.77,0.43,0.81,1.30
259,10.260,0.8742,3.735,4.57,4.71,0.32,0.78,0.43,0.82,1.31
260,10.260,0.8826,3.729,4.42,4.58,0.37,0.81,0.44,0.85,1.36
261,10.260,0.8909,3.705,4.26,4.52,0.54,0.91,0.50,0.94,1.53
262,10.260,0.8925,3.694,4.22,4.52,0.62,0.95,0.52,0.99,1.62
263,10.260,0.8944,3.683,4.07,4.43,0.70,1.00,0.56,1.05,1.72
264,10.260,0.8951,3.680,3.98,4.36,0.73,1.01,0.57,1.06,1.75
265,10.260,0.8961,3.677,3.84,4.23,0.75,1.02,0.57,1.08,1.77
266,10.260,0.8971,3.675,3.66,4.07,0.77,1.04,0.58,1.09,1.79
267,10.260,0.8979,3.673,3.51,3.93,0.79,1.04,0.58,1.09,1.81
268,10.260,0.8987,3.671,3.32,3.75,0.81,1.05,0.59,1.10,1.82
269,10.260,0.8994,3.669,3.14,3.58,0.82,1.06,0.59,1.11,1.84
270,10.260,0.9000,3.668,2.97,3.41,0.84,1.07,0.60,1.12,1.85
271,10.260,0.9006,3.666,2.79,3.25,0.86,1.08,0.60,1.13,1.87
272,10.260,0.9011,3.664,2.61,3.08,0.88,1.09,0.61,1.13,1.88
273,10.260,0.9015,3.662,2.45,2.92,0.90,1.10,0.61,1.14,1.90
274,10.260,0.9019,3.659,2.26,2.75,0.93,1.12,0.62,1.15,1.92
275,10.260,0.9022,3.657,2.11,2.61,0.95,1.13,0.63,1.17,1.94
276,10.260,0.9025,3.655,1.95,2.47,0.98,1.14,0.63,1.18,1.97
277,10.260,0.9028,3.652,1.78,2.32,1.01,1.16,0.64,1.19,1.99
278,10.260,0.9030,3.651,1.70,2.25,1.03,1.17,0.64,1.20,2.01
279,10.260,0.9032,3.652,1.75,2.29,1.01,1.16,0.64,1.19,1.99
280,10.260,0.9035,3.649,1.58,2.14,1.05,1.18,0.65,1.21,2.02
281,10.260,0.9037,3.646,1.43,2.01,1.08,1.19,0.65,1.22,2.05
282,10.260,0.9039,3.644,1.26,1.87,1.12,1.21,0.66,1.24,2.07
283,10.260,0.9041,3.640,1.08,1.71,1.16,1.23,0.67,1.26,2.11
284,10.260,0.9042,3.636,0.90,1.56,1.21,1.25,0.69,1.28,2.14
285,10.260,0.9043,3.632,0.73,1.42,1.26,1.28,0.70,1.31,2.19
286,10.260,0.9044,3.628,0.57,1.29,1.31,1.30,0.71,1.33,2.23
287,10.260,0.9045,3.625,0.42,1.17,1.35,1.32,0.72,1.35,2.27
288,10.260,0.9046,3.621,0.25,1.04,1.40,1.34,0.73,1.38,2.31
289,10.260,0.9047,3.616,0.05,0.89,1.46,1.37,0.75,1.41,2.37
290,10.260,0.9047,3.612,-0.12,0.77,1.52,1.40,0.76,1.44,2.42
291,10.260,0.9048,3.608,-0.31,0.62,1.59,1.43,0.78,1.47,2.47
292,10.260,0.9049,3.601,-0.52,0.47,1.67,1.47,0.80,1.51,2.55
293,10.260,0.9049,3.596,-0.69,0.35,1.71,1.49,0.82,1.56,2.61
294,10.260,0.9049,3.591,-0.87,0.23,1.75,1.51,0.84,1.62,2.68
295,10.260,0.9050,3.583,-1.09,0.08,1.78,1.54,0.86,1.71,2.78
296,10.260,0.9050,3.572,-1.37,-0.05,1.81,1.56,0.90,1.85,2.94
297,10.260,0.9051,3.558,-1.70,-0.05,1.81,1.58,0.99,2.13,3.28
298,10.260,0.9051,3.550,-1.89,-0.06,1.80,1.58,1.04,2.29,3.47
299,10.260,0.9051,3.540,-2.12,-0.02,1.76,1.59,1.11,2.49,3.77
300,10.260,0.9051,3.528,-2.38,0.21,1.63,1.60,1.21,2.77,4.29
301,10.260,0.9051,3.511,-2.72,0.53,1.45,1.61,1.35,3.16,5.02
302,10.260,0.9052,3.487,-3.12,0.67,1.40,1.61,1.40,3.54,5.63
303,10.260,0.9052,3.456,-3.62,0.89,1.34,1.62,1.48,4.03,6.44
304,10.260,0.9052,3.449,-3.72,0.93,1.33,1.62,1.49,4.13,6.61
305,10.260,0.6858,3.665,0.72,1.17,0.98,1.13,0.59,1.12,1.87
306,10.260,0.6859,3.662,0.64,1.11,1.01,1.15,0.60,1.13,1.90
307,10.260,0.6873,3.675,0.70,1.08,0.89,1.09,0.56,1.07,1.78
