source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,labels,prob,rradec
5516043957307470848,124.76595174369241,-47.75505169838363,-3.208448228155693,0.10313603,2.593479586575025,0.09449696,1.571764,17.706144,0.24936535175788746,0.09152348,,,264.0385032758369,-6.564297766066422,1.1323707,302,35,34,0,1.0,0.05755322817720936
5516043991667212288,124.78334563950379,-47.741957874642225,-1.8706046995449284,0.17482035,3.149091465773356,0.17021331,1.6119003,18.826681,0.41569809699193455,0.17034626,,,264.0340959690139,-6.5472960081499645,1.0261446,309,37,36,0,1.0,0.07926520590529251
5516044060375140096,124.7754882051564,-47.73181426393671,-2.8817436909628236,0.1323529,4.764961443822773,0.13121371,1.5053673,18.412895,0.37382080796409073,0.12351561,,,264.02265228671126,-6.546046106241189,0.9519222,327,37,38,0,1.0,0.0793196550518608
5516044060386687104,124.77784198951066,-47.74269540960364,-3.8242380881870544,0.09076972,4.434698712488814,0.08794458,1.4123669,17.72973,0.6290417240262793,0.08606032,,,264.03264099268984,-6.5507819897054915,1.0474823,318,41,40,0,1.0,0.0743020842683235
5516044232185360256,124.68432136479693,-47.79440788005641,-3.0204376461118647,0.05366583,5.1370201137609355,0.054694913,1.0890274,16.836372,0.5998854995110547,0.047418572,,,264.04076336540544,-6.631776868864258,1.007999,356,40,39,0,1.0,0.03399649964782466
5516044262242173568,124.70541826119432,-47.76343150184464,-4.1489766090551825,0.094317876,5.457242821864247,0.093070515,1.4928513,17.871552,0.4234676399519981,0.08349635,,,264.0227529066276,-6.602786294986919,1.0660871,388,38,39,0,1.0,0.02503403849360171
5516044266533514240,124.70058333675202,-47.779370634115246,-0.588263501899174,0.1710567,4.117540152317083,0.18805523,1.4108219,18.702894,0.5900862202796788,0.17163026,,,264.03428011178886,-6.614340457652242,1.1786458,354,42,40,0,1.0,0.017675508931997017
5516044266545097856,124.6956109558177,-47.774214716529755,-1.6449562282566526,0.08891109,3.9215155207521457,0.08264302,1.4313889,17.548023,0.30283818058730333,0.076238096,,,264.0280954686384,-6.614256411707483,1.0652465,343,34,36,0,1.0,0.024333886444038298
5516044266545099904,124.70613061314168,-47.76973151980218,-2.3622525215909724,0.12974758,2.722381101249237,0.13059942,1.3710041,18.493664,0.36372614098869666,0.12274669,,,264.0282946524715,-6.605887065364738,0.98274195,361,35,37,0,1.0,0.019274438379594416
5516044296600898304,124.67662995546381,-47.78130125169539,-3.167592021274132,0.12396376,4.860666760287231,0.11990719,1.5976543,18.362284,0.2692303229424924,0.108167745,,,264.0269001876207,-6.6287997661468925,0.99522656,369,41,39,0,1.0,0.04073577082726177
5516044296600925824,124.68058901850858,-47.77337090212669,-3.6004230121675715,0.11895152,4.864287998838193,0.1231624,1.3614864,18.304918,0.25190690958074036,0.106286965,,,264.02174627226105,-6.622184653965578,1.0549265,377,44,40,0,1.0,0.03853000324239045
5516044300904831488,124.68172671447027,-47.76975895797221,-4.024303495612905,0.069872685,5.040671695615602,0.073662244,1.765276,17.426891,0.3505698482493341,0.063930616,,,264.0191491391271,-6.619543561321491,0.9887468,383,36,36,0,1.0,0.03877763420318503
5516044330959362304,124.69020979211832,-47.76259694248464,-3.918221515218773,0.11594305,4.152895489067204,0.121570386,1.6583672,18.26171,0.297255635354233,0.11061282,,,264.0163392535174,-6.61082483359846,0.9450197,347,32,33,0,1.0,0.03538732942081437
5516044330961649536,124.69940528846834,-47.765500332429596,-2.1144265821549677,0.23172371,2.7881518549091378,0.22662961,1.4253559,19.285852,0.5055607317740333,0.21329571,,,264.02222523607077,-6.607296444646575,1.0479295,362,39,39,0,1.0,0.026769921996338545
5516044335252955136,124.68469634017382,-47.762192560842315,-2.2313161517414546,0.24938309,2.6002836970114016,0.2339387,1.460329,19.108093,0.5333038721259848,0.22171305,,,264.0139291968674,-6.6136827928093265,1.1665542,306,28,32,0,1.0,0.03997979922144977
5516044335260225280,124.68899983981031,-47.75561942901138,-3.0856730998996094,0.20228684,4.3791963428751215,0.17693232,1.0676746,18.622562,0.4713727101861704,0.16424131,,,264.01004262604386,-6.607627177687844,0.99541885,289,21,20,0,1.0,0.041084036429786384
5516044335264571520,124.69719419208495,-47.75919950695017,-2.280743871793953,0.051398546,2.2782332026094316,0.04534046,1.495244,16.610209,0.2365817164789774,0.044424783,,,264.01611930761726,-6.605033568460641,1.0482215,335,34,34,0,1.0,0.03305021768007388
5516044335265314432,124.68310845434496,-47.76168211589808,-2.8538561518933285,0.06400062,4.8817495316982615,0.06777781,1.2450466,17.261799,0.5693873472000972,0.060185563,,,264.0129052383524,-6.614287200458084,1.0020819,345,34,35,0,1.0,0.041569898461146296
5516044365320443392,124.71052816584191,-47.7612089618915,-4.714924612290131,0.07943093,5.12549989122498,0.07414403,1.3999443,17.336744,0.30184421004400824,0.066539295,,,264.02281290192093,-6.598695477733541,1.0317107,323,30,30,0,1.0,0.025223822820143828
