Full,log(Age),M,log(Teff),Mbol,Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
831,10.18,0.7537,3.559,-1.98,-0.36,1.81,1.58,0.99,2.11,3.25
832,10.18,0.7538,3.545,-2.26,-0.31,1.8,1.59,1.08,2.39,3.59
833,10.18,0.7538,3.537,-2.38,-0.15,1.73,1.59,1.14,2.56,3.9
834,10.18,0.7538,3.525,-2.58,0.13,1.59,1.6,1.24,2.84,4.43
835,10.18,0.7538,3.513,-2.78,0.4,1.47,1.61,1.34,3.12,4.94
836,10.18,0.7538,3.501,-2.99,0.5,1.43,1.61,1.38,3.33,5.29
837,10.18,0.7538,3.489,-3.19,0.56,1.41,1.61,1.4,3.51,5.58
838,10.18,0.7538,3.477,-3.37,0.65,1.38,1.62,1.43,3.69,5.89
839,10.18,0.7538,3.463,-3.59,0.76,1.36,1.62,1.46,3.93,6.26
840,10.18,0.7538,3.451,-3.78,0.84,1.34,1.62,1.49,4.11,6.56
841,10.18,0.7538,3.439,-3.96,0.91,1.31,1.62,1.51,4.29,6.86
842,10.18,0.7538,3.432,-4.08,0.96,1.3,1.62,1.53,4.41,7.05
876,10.16,0.6,3.595,7.63,8.67,1.1,1.36,0.86,1.64,2.6
877,10.16,0.62,3.605,7.46,8.44,1.05,1.32,0.83,1.55,2.52
878,10.16,0.64,3.616,7.29,8.17,1.02,1.28,0.8,1.48,2.41
879,10.16,0.66,3.627,7.12,7.91,1.0,1.24,0.78,1.41,2.3
880,10.16,0.68,3.637,6.94,7.64,0.94,1.19,0.74,1.35,2.18
881,10.16,0.7,3.648,6.75,7.37,0.89,1.13,0.7,1.27,2.07
882,10.16,0.72,3.659,6.58,7.12,0.82,1.09,0.66,1.21,1.96
883,10.16,0.74,3.67,6.39,6.85,0.75,1.04,0.62,1.14,1.86
884,10.16,0.76,3.682,6.21,6.59,0.68,0.99,0.58,1.08,1.75
885,10.16,0.78,3.694,6.01,6.32,0.6,0.94,0.54,1.01,1.64
886,10.16,0.795,3.702,5.85,6.12,0.55,0.91,0.51,0.96,1.56
887,10.16,0.815,3.713,5.66,5.88,0.48,0.87,0.49,0.91,1.48
888,10.16,0.83,3.72,5.51,5.69,0.43,0.84,0.47,0.88,1.42
889,10.16,0.845,3.727,5.35,5.51,0.38,0.81,0.45,0.85,1.37
890,10.16,0.86,3.733,5.18,5.33,0.34,0.79,0.44,0.83,1.33
891,10.16,0.875,3.739,5.02,5.15,0.3,0.76,0.42,0.81,1.29
892,10.16,0.89,3.743,4.84,4.95,0.27,0.75,0.41,0.79,1.26
893,10.16,0.897,3.745,4.75,4.86,0.26,0.74,0.41,0.78,1.25
894,10.16,0.9081,3.746,4.59,4.71,0.25,0.74,0.41,0.78,1.24
895,10.16,0.9194,3.746,4.44,4.55,0.26,0.74,0.41,0.78,1.24
896,10.16,0.9296,3.741,4.28,4.4,0.28,0.75,0.42,0.8,1.26
897,10.16,0.94,3.727,4.13,4.29,0.38,0.82,0.45,0.85,1.37
898,10.16,0.9457,3.701,4.06,4.33,0.57,0.92,0.5,0.96,1.56
899,10.16,0.949,3.684,3.89,4.24,0.69,0.99,0.55,1.04,1.71
900,10.16,0.9492,3.683,3.88,4.23,0.7,1.0,0.56,1.04,1.71
901,10.16,0.9507,3.679,3.71,4.09,0.73,1.01,0.57,1.06,1.75
902,10.16,0.9519,3.677,3.54,3.94,0.76,1.03,0.57,1.07,1.77
903,10.16,0.9529,3.675,3.39,3.79,0.77,1.04,0.58,1.08,1.79
904,10.16,0.9539,3.674,3.22,3.63,0.79,1.04,0.58,1.09,1.8
905,10.16,0.9547,3.672,3.07,3.49,0.81,1.05,0.58,1.1,1.81
906,10.16,0.9555,3.67,2.88,3.32,0.83,1.07,0.59,1.1,1.83
907,10.16,0.9562,3.668,2.71,3.15,0.85,1.08,0.59,1.11,1.85
908,10.16,0.9568,3.666,2.53,2.98,0.87,1.09,0.6,1.12,1.86
909,10.16,0.9573,3.664,2.36,2.83,0.89,1.1,0.61,1.13,1.88
910,10.16,0.9577,3.662,2.2,2.68,0.91,1.11,0.61,1.14,1.9
911,10.16,0.9581,3.659,2.03,2.52,0.94,1.12,0.62,1.15,1.92
912,10.16,0.9585,3.656,1.84,2.35,0.97,1.14,0.63,1.17,1.95
913,10.16,0.9589,3.653,1.65,2.18,1.01,1.16,0.63,1.18,1.98
914,10.16,0.9591,3.652,1.59,2.13,1.02,1.16,0.64,1.19,1.99
915,10.16,0.9593,3.653,1.64,2.16,1.01,1.15,0.63,1.18,1.98
