Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,p0,p1,p2,p3,p4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.017268,0.074,8.9,2.0224394798,2.5694842339,2.022,1.398,3.9135,3.951,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7175,0.2659,0.002946,8.052E-4,0.007318,-1.0,0.01662,1.274,1.195,1.26,1.076
0.017268,0.074,8.9,2.0280957222,2.5697178841,2.028,1.405,3.9133,3.945,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7175,0.2659,0.002946,8.053E-4,0.007319,-1.0,0.01662,1.258,1.178,1.243,1.059
0.017268,0.074,8.9,2.0563495159,2.5708625317,2.056,1.437,3.9125,3.916,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7174,0.266,0.002947,8.055E-4,0.007321,-1.0,0.01665,1.177,1.095,1.16,0.975
0.017268,0.074,8.9,2.0783729553,2.5717301369,2.077,1.463,3.9112,3.89,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7173,0.2661,0.002948,8.057E-4,0.007323,-1.0,0.01665,1.113,1.029,1.096,0.906
0.017268,0.074,8.9,2.1011247635,2.5726044178,2.1,1.489,3.9095,3.862,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7172,0.2662,0.002949,8.059E-4,0.007325,-1.0,0.01666,1.048,0.96,1.029,0.834
0.017268,0.074,8.9,2.1286501884,2.5736334324,2.127,1.52,3.9061,3.822,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.717,0.2663,0.00295,8.062E-4,0.007328,-1.0,0.01667,0.97,0.876,0.949,0.743
0.017268,0.074,8.9,2.1344711781,2.5738470554,2.133,1.527,3.9053,3.814,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.717,0.2663,0.00295,8.063E-4,0.007329,-1.0,0.01668,0.954,0.858,0.932,0.723
0.017268,0.074,8.9,2.1671257019,2.5750215054,2.166,1.563,3.8996,3.761,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7168,0.2665,0.002952,8.068E-4,0.007332,-1.0,0.0167,0.863,0.758,0.839,0.61
0.017268,0.074,8.9,2.17892766,2.5754361153,2.178,1.576,3.8971,3.741,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7167,0.2666,0.002952,8.069E-4,0.007334,-1.0,0.01669,0.83,0.722,0.807,0.569
0.017268,0.074,8.9,2.1853339672,2.5756587982,2.184,1.583,3.8957,3.729,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7167,0.2666,0.002953,8.07E-4,0.007334,-1.0,0.01669,0.813,0.703,0.789,0.546
0.017268,0.074,8.9,2.208493948,2.5764520168,2.207,1.608,3.8888,3.682,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7166,0.2668,0.002954,8.073E-4,0.007337,-1.0,0.01668,0.751,0.632,0.728,0.459
0.017268,0.074,8.9,2.2292046547,2.5771453381,2.228,1.629,3.8814,3.634,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7164,0.2669,0.002955,8.076E-4,0.00734,-1.0,0.01672,0.697,0.571,0.678,0.379
0.017268,0.074,8.9,2.2298765182,2.5771677494,2.228,1.63,3.8812,3.633,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7164,0.2669,0.002955,8.076E-4,0.00734,-1.0,0.01672,0.695,0.569,0.676,0.376
0.017268,0.074,8.9,2.2498166561,2.5778210163,2.248,1.65,3.8732,3.584,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7163,0.267,0.002956,8.079E-4,0.007343,-1.0,0.01669,0.644,0.512,0.63,0.299
0.017268,0.074,8.9,2.2672615051,2.5783815384,2.266,1.668,3.8651,3.538,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7162,0.2671,0.002957,8.082E-4,0.007345,-1.0,0.01669,0.6,0.461,0.592,0.228
0.017268,0.074,8.9,2.2794818878,2.5787684917,2.278,1.682,3.8592,3.503,1,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1,-1.0E-30,0.0,0.7161,0.2672,0.002958,8.084E-4,0.007347,-1.0,0.01671,0.566,0.424,0.564,0.176
