source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,non_single_star,labels,prob
2941936122545744000,93.88407935356057,-18.684564538979338,-0.5444967746426245,0.026941594,2.013029341898837,0.03569364,0.59791946,15.708731,0.2070225517272123,0.033232033,,,226.03087699566842,-16.117472165273018,0.93061465,427,46,47,0,0,1.0
2941936122545746048,93.87520096490489,-18.68207139155815,-0.5223104682975743,0.03036545,1.9101557122401294,0.041989837,0.56931305,15.906415,0.17181349906063723,0.03769706,,,226.02497130434293,-16.124162795338204,1.0425787,401,40,38,0,0,1.0
2941936122545747456,93.87018356475436,-18.6807395391172,-0.6307149221304826,0.032392424,2.05981343059636,0.041615836,0.629282,15.988469,0.2275636019023815,0.040823277,,,226.0217072342612,-16.127975030008777,1.0044912,390,47,40,0,0,1.0
2941936156905475200,93.88669852116092,-18.668494266969866,-0.58945065019956,0.067430675,2.063907277362663,0.08628531,0.7421551,17.375746,0.20352978294466767,0.085158594,,,226.01661251896078,-16.108719584657436,1.0064803,397,40,38,0,0,1.0
2941936156905475968,93.88923576396856,-18.67230516550248,-0.653277862993038,0.04786235,1.8747529807967924,0.061854254,0.76286507,16.824879,0.22244512536233213,0.057761896,,,226.02125136881097,-16.10805742199327,0.9709216,437,48,50,0,0,1.0
2941936156905479680,93.88156316344057,-18.67446247030354,-0.5641624581655759,0.04693717,1.9358052457025399,0.062310286,0.696846,16.777838,0.1290496982716015,0.05797409,,,226.0202541912546,-16.11557874478944,1.07418,436,45,44,0,0,1.0
2941936191265207040,93.90700219798816,-18.666023387464747,-0.5438106360035407,0.031590197,2.0151179679108053,0.04165113,0.5647936,15.946136,0.18886434074598424,0.037854675,,,226.02233652511455,-16.09012206910179,1.0110784,417,46,45,0,0,1.0
2941936191265207296,93.90737448109972,-18.667396190356577,-0.5521455716953254,0.025331596,1.8945681033438337,0.032501683,0.62478065,15.355694,0.21915427954355549,0.02909727,,,226.02379194613084,-16.090353246361886,0.9865288,400,44,43,0,0,1.0
2941936191265208320,93.90579434905771,-18.670314928412033,-0.5984304473062326,0.02751525,2.0410883531634227,0.035205867,0.53224945,15.52665,0.2177914417545647,0.032288402,,,226.0259428651017,-16.092900597079,0.9916727,387,44,42,0,0,1.0
2941936191265209344,93.90830546063651,-18.675174405651905,-0.5896783454966286,0.038153406,2.0461067948296536,0.047835026,0.62415695,16.262112,0.1913296610719086,0.043542456,,,226.03156956348965,-16.09268442952696,1.0501513,410,41,38,0,0,1.0
2941936191265209728,93.90433249732303,-18.67230327496886,-0.5771596460448021,0.046320423,1.9175104937035674,0.05868441,0.6845398,16.68835,0.19314956988997292,0.05491852,,,226.0272548809382,-16.094969995735312,0.9871302,408,49,46,0,0,1.0
2941936221326684672,93.92081738543045,-18.662862017777893,-0.5283058214554945,0.081027225,2.0206836479528274,0.10338097,0.8106785,17.703264,0.2009844974387621,0.099119015,,,226.024822635206,-16.076870645702975,1.0160334,423,44,45,0,0,1.0
2941936225624940416,93.91858183179795,-18.662435081833483,-0.5935915438849212,0.05069544,2.020707696918869,0.064960524,0.688818,16.933792,0.15711679017319555,0.059928603,,,226.02352662186942,-16.078636261024748,1.0182582,424,46,46,0,0,1.0
2941936259984682112,93.90211790371714,-18.657544314977283,-0.6000831104277002,0.052094433,1.9218497995176884,0.06885696,0.7190838,16.948738,0.20160495285140181,0.06660885,,,226.0123187134422,-16.090934948871958,1.0074031,412,42,44,0,0,1.0
2941936259984685312,93.89759234508351,-18.66410515116214,-0.5932892013847341,0.012836224,1.8883839365864985,0.016126681,0.09932518,13.481447,0.1946204747271432,0.014387379,,,226.01676615339176,-16.097505247863495,0.92783284,397,44,41,0,0,1.0
2941936294344415488,93.91568068893194,-18.655584301545186,-0.5816893438757866,0.058123805,1.8601644306025098,0.07692692,0.73547745,17.085434,0.18529401201194518,0.07424996,,,226.01584889693234,-16.078386594547474,0.9626098,353,40,37,0,0,1.0
2941936294344416640,93.9119384870529,-18.65638094656801,-0.6113734096113703,0.024160294,1.9489619791731987,0.031217672,0.61004734,15.388809,0.1994710899788898,0.02986969,,,226.01511842090113,-16.08195213396281,0.99416554,396,42,41,0,0,1.0
2941936294344418304,93.91126831851268,-18.658059827378963,-0.5594798835749645,0.033327706,2.045056856697617,0.04195037,0.67705154,16.162563,0.20485414192538628,0.03991514,,,226.0164504477847,-16.083210573372703,0.93342113,450,43,44,0,0,1.0
2941936328704425216,93.95418093230606,-18.669817574103497,-0.6185329723741072,0.03174278,2.0077285479702134,0.03879483,0.5650492,15.920514,0.16163987182314443,0.03681675,,,226.04472007847806,-16.050757679398078,1.0520327,396,45,45,0,0,1.0
2941936363064160512,93.96330234456424,-18.661902762171714,-0.6112589498871784,0.024510985,1.9424566933278684,0.028635161,0.6317358,15.27513,0.1732093312576795,0.027020043,,,226.04081480999724,-16.039656503355918,1.0605125,388,44,43,0,0,1.0
2941936363064160896,93.96033283888569,-18.66139564237691,-0.5640004495036225,0.03579949,2.069999481410213,0.042299915,0.66667175,16.051832,0.17840157672627233,0.03971846,,,226.03915033023128,-16.042025752104895,1.0333264,388,43,41,0,0,1.0
2941936397423624960,93.94363619835946,-18.662978807346185,-0.5700786876904389,0.039960705,1.9558728757044221,0.04705618,0.63547516,16.495487,0.17592578467083814,0.046584938,,,226.0340133925954,-16.057137614918464,1.0035181,427,44,42,0,0,1.0
2941936397423627136,93.93505601206921,-18.662720207327595,-0.5908858513635958,0.018250853,1.9444952634962929,0.022188324,0.79984474,14.813101,0.23939586331650753,0.021362929,,,226.0303530428511,-16.064470773036646,0.9540677,402,40,40,0,0,1.0
2941936397423627264,93.9434010554343,-18.67088084985478,-0.584984355279104,0.01958079,1.9442647680886314,0.023899954,1.1219587,15.0026455,0.2015158988171858,0.023595136,,,226.0414432779406,-16.060530682987313,1.0083919,410,41,40,0,0,1.0
2941936431783359104,93.95993735730987,-18.65438457599628,-0.6091259007466682,0.030721774,1.9999960355651252,0.035754442,0.66424465,15.83791,0.21195326349009752,0.035202004,,,226.0323186883574,-16.039538255013486,1.085894,417,44,45,0,0,1.0
2941936466143371136,93.97949906109339,-18.659595319714306,-0.5476831047474484,0.026990166,2.0340724593357287,0.032433316,0.5815077,15.641431,0.18165342611158733,0.030300224,,,226.04506417774033,-16.02468582692859,0.95257074,413,43,41,0,0,1.0
2941936569222304384,93.97358046977425,-18.631138638442884,-0.5633979108949777,0.021224251,1.9481011252255547,0.025663622,0.67822266,15.120657,0.2012185829583086,0.024717333,,,226.015622593183,-16.01832548197437,1.0227728,415,43,41,0,0,1.0
2941936702363086720,93.93160766892304,-18.628028975098328,-0.5827900397908623,0.03055314,1.9153218531013596,0.03640786,0.57133293,15.964893,0.17476711992300364,0.036067814,,,225.99595234552962,-16.05345686212061,0.9981617,445,47,46,0,0,1.0
2941936706661263744,93.93351860491552,-18.62379459355664,-0.5735383479366127,0.038002547,1.9286234894063097,0.044983324,0.6117592,16.40035,0.18993384611551847,0.044414956,,,225.99268200509857,-16.050090597794195,0.99015737,448,49,47,0,0,1.0
2941936741020998656,93.9570845145541,-18.627608709300723,-0.5262539061087592,0.009911746,2.024629638199735,0.0120269265,1.3894958,12.415997,0.2338410436614106,0.011134817,91.88469,0.37141255,226.00569502927704,-16.031200369865832,1.0314878,421,47,47,0,0,1.0
2941936741020999168,93.9520599126617,-18.626774013357842,-0.6452481921121399,0.029629257,1.9807895682896455,0.03487209,0.5593939,15.846021,0.25280766562354773,0.033601187,,,226.00290003044904,-16.035219267152886,0.9570877,418,47,40,0,0,1.0
2941936809740475776,93.9421160047912,-18.61851632076932,-0.5527762771866704,0.03319539,2.0133104340003745,0.038954396,0.5693779,15.942419,0.2005003801822601,0.037689276,,,225.9910803846092,-16.040505716707425,1.06337,407,43,41,0,0,1.0
2941936844100211840,93.95592275832199,-18.61838562658833,-0.5865462149843677,0.06045009,2.0297931712408133,0.07054814,0.8310623,17.266983,0.1545197004539413,0.0725747,,,225.99645350991267,-16.028483021071917,0.8781727,429,44,43,0,0,1.0
2941936844100212864,93.95281631034207,-18.62054944597549,-0.5252550268109656,0.033388145,1.9864138759780356,0.039791405,0.55550385,16.108349,0.2594595413916342,0.03982236,,,225.99727620512095,-16.03204997914259,0.9829911,421,44,45,0,0,1.0
2941936912819756032,93.79696261537474,-18.737262543516554,-0.5829024437930137,0.026690854,1.991126647587894,0.033924267,0.54424477,15.650181,0.22748523645382454,0.032557387,,,226.04646292803156,-16.214226022020178,0.99745727,440,47,44,0,0,1.0
2941937015898969728,93.8010686724809,-18.73370269326883,-0.4912523275902537,0.032710295,1.9193050597471222,0.04138672,0.5608072,16.04617,0.16564112048455013,0.041049074,,,226.04470098340389,-16.209232990142112,0.9925718,415,40,39,0,0,1.0
