NGC4755_1,Arp_1,RAJ2000,DEJ2000,pmRA,pmDE,recno_1,NGC4755_2,Arp_2,x,y,Vmag,B-V,recno_2
66,446,12 53 14.055,-60 24 12.88,1.82,-0.83,57,66,446,659.037,560.864,11.779,0.188,66
67,427,12 53 41.836,-60 24 37.88,-0.1,-1.08,58,67,427,599.792,1086.617,11.78,0.192,67
68,327,12 54 14.773,-60 24 25.75,-11.72,-2.26,59,68,327,635.364,1707.648,11.815,1.229,68
70,0,12 53 29.469,-60 21 17.88,-5.05,-11.98,60,70,0,1105.431,846.559,11.936,0.221,70
71,12,12 53 23.164,-60 18 35.94,2.21,-0.12,61,71,12,1521.347,725.606,12.027,0.27,71
72,217,12 53 57.898,-60 21 22.56,2.3,0.32,62,72,217,1100.49,1387.038,12.03,0.204,72
75,312,12 53 52.703,-60 23 57.88,0.48,0.04,63,75,312,703.433,1291.456,12.082,0.28,75
76,208,12 53 56.445,-60 21 40.19,1.06,1.08,64,76,208,1055.415,1359.767,12.093,0.227,76
77,207,12 53 45.453,-60 21 07.69,3.47,-2.03,65,77,207,1136.412,1151.28,12.096,0.231,77
78,433,12 53 36.930,-60 25 26.81,0.17,0.14,66,78,433,474.299,994.905,12.129,0.176,78
80,315,12 53 43.086,-60 23 51.38,-1.63,-0.22,67,80,315,718.595,1109.157,12.161,0.169,80
81,443,12 53 29.469,-60 26 14.81,-3.09,6.15,68,81,443,351.166,854.548,12.163,0.674,81
82,122,12 53 08.969,-60 21 22.31,0.35,-0.23,69,82,122,1093.518,460.362,12.171,0.203,82
83,431,12 53 17.945,-60 23 25.88,0.81,0.02,70,83,431,779.848,633.174,12.174,0.268,83
85,109,12 53 32.297,-60 22 19.38,-6.01,2.7,71,85,109,952.121,902.405,12.233,0.272,85
86,114,12 53 34.438,-60 21 12.56,-1.67,-0.3,72,86,114,1122.483,942.108,12.245,0.254,86
87,430,12 53 33.492,-60 24 20.00,-0.48,-1.3,73,87,430,643.907,928.405,12.27,0.254,87
