  ID     REF  V        B-V
   0821    88  19.589   1.203
   0822    88  16.128   1.239
   0822    96  16.260   1.380
   0823    88  14.064   1.230
   0823    96  14.030   1.480
   0824    88  22.056   1.818
   0825    88  18.500   0.992
   0825    96  18.630   1.160
   0826    88  18.836   0.931
   0827    88  18.359   0.636
   0827    96  18.260   0.670
   0828    88  19.472   1.272
   0829    88  18.396   1.005
   0829    96  18.390   1.020
   0830    88  16.571   0.965
   0830    96  16.590   1.070
   0831    88  20.832   1.292
   0832    88  17.803   1.216
   0833    88  17.329   0.903
   0834    88  18.126   1.504
   0834    96  18.240   1.250
   0835    88  19.445   0.734
   0836    88  18.562   1.039
   0836    96  18.590   1.020
   0837    88  17.971   1.006
   0837    96  17.790   0.900
   0838    88  18.414   0.841
   0838    96  18.330   0.830
   0839    88  18.660   0.779
   0839    96  18.590   0.800
   0840    88  20.293   1.479
   0841    88  18.610   0.752
   0841    96  18.550   0.840
   0842    88  18.275   0.779
   0843    88  20.231   1.263
   0843    96  20.450   1.510
   0844    88  19.086   0.925
   0844    96  18.920   0.910
   0845    88  18.748   1.098
   0846    88  16.167   1.260
   0846    96  16.180   1.450
   0847    88  16.586   1.059
   0848    88  19.522   0.780
   0848    96  19.350   0.880
   0849    88  18.370   0.870
   0850    88  18.761   0.891
   0851    88  18.975   0.795
   0851    96  19.080   0.850
   0852    88  19.817   0.781
   0852    96  19.750   0.930
   0853    88  19.266   0.964
   0854    88  19.038   1.050
   0854    96  18.760   0.810
   0855    88  18.815   1.275
   0855    96  18.700   1.450
   0856    88  18.974   2.171
   0857    88  19.365   1.117
   0858    88  18.826   0.764
   0858    96  18.730   0.870
   0859    88  19.381   0.975
   0859    96  19.290   0.790
   0860    88  21.228   2.070
   0861    88  19.220   0.754
   0862    88  17.270   1.269
   0862    96  17.300   1.470
   0863    88  17.960   1.054
   0864    88  18.295   0.555
   0864    96  18.180   0.620
   0865    88  19.880   0.954
   0865    96  19.850   0.830
   0866    88  19.375   0.817
   0866    96  19.390   0.860
   0867    88  18.789   1.132
   0868    88  19.192   0.820
   0868    96  19.100   0.810
   0869    88  18.808   1.143
   0869    96  18.910   1.200
   0870    88  20.221   0.935
   0871    88  21.311   2.412
   0872    88  19.147   0.820
   0873    88  18.475   0.735
   0873    96  18.480   0.830
   0874    88  18.599   1.161
   0875    88  19.098   1.147
   0876    88  18.529   0.961
   0876    96  18.550   1.040
   0877    88  20.249   1.446
   0877    96  19.860   0.990
   0878    88  19.231   0.691
   0878    96  19.240   0.860
   0879    88  19.000   0.852
   0880    88  20.933   2.760
   0881    88  18.209   0.554
   0881    96  18.210   0.540
   0882    88  19.041   0.858
   0882    96  18.920   0.890
   0883    88  19.051   0.733
   0883    96  19.060   0.790
